system,query_id,hop,n_facts,n_facts_ind,n_facts_dep,n_traps,n_traps_ind,n_traps_dep,n_traps_schema,n_traps_missingdetail,facts_recalled,traps_acknowledged,fr_pct,uaa_pct,duration_s
BB,N20,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,16.33
BB,N21,single,1,1,0,1,1,0,0,1,0.0,1.0,0.0,100.0,9.62
BB,N22,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,10.39
BB,N23,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,8.82
BB,N24,single,2,2,0,1,1,0,0,1,0.0,1.0,0.0,100.0,9.93
BB,N25,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,16.91
BB,N26,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,15.05
BB,N27,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,9.72
BB,N28,single,4,4,0,0,0,0,0,0,1.0,0,25.0,,11.14
BB,N29,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,20.17
BB,N30,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,17.91
BB,N31,single,3,3,0,1,1,0,0,1,2.0,1.0,66.7,100.0,14.05
BB,N32,single,3,3,0,1,1,0,1,0,0.0,0.0,0.0,0.0,15.36
BB,N33,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,14.32
BB,N34,single,4,4,0,0,0,0,0,0,2.0,0,50.0,,12.3
BB,N35,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,9.71
BB,D1,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,11.71
BB,D2,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,11.03
BB,D3,single,1,1,0,1,1,0,1,0,0.0,0.0,0.0,0.0,15.28
BB,D4,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,11.32
BB,D5,single,2,2,0,1,1,0,1,0,0.0,0.0,0.0,0.0,10.91
BB,N41,multi,1,0,1,0,0,0,0,0,0.0,0,0.0,,9.77
BB,N42,multi,1,0,1,3,0,3,3,0,0.0,2.0,0.0,66.7,8.67
BB,N43,multi,2,0,2,0,0,0,0,0,2.0,0,100.0,,13.48
BB,N44,multi,2,0,2,1,0,1,1,0,0.0,1.0,0.0,100.0,13.5
BB,N45,multi,1,0,1,0,0,0,0,0,0.0,0,0.0,,9.85
BB,N46,multi,2,0,2,1,0,1,1,0,0.0,0.0,0.0,0.0,18.41
BB,N47,multi,2,0,2,2,0,2,2,0,0.0,2.0,0.0,100.0,13.32
BB,N48,multi,3,0,3,0,0,0,0,0,2.0,0,66.7,,13.03
BB,N49,multi,2,0,2,0,0,0,0,0,1.0,0,50.0,,8.58
BB,N50,multi,1,0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,14.22
BB,N51,multi,2,0,2,0,0,0,0,0,0.0,0,0.0,,6.57
BB,N52,multi,2,0,2,1,0,1,1,0,1.0,0.0,50.0,0.0,9.15
BB,N53,multi,3,0,3,0,0,0,0,0,2.0,0,66.7,,8.92
BB,N54,multi,2,0,2,2,0,2,2,0,0.0,1.0,0.0,50.0,16.4
BB,N55,multi,1,0,1,2,0,2,2,0,0.0,2.0,0.0,100.0,16.98
UNBB,N1,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,19.98
UNBB,N2,single,2,2,0,1,1,0,1,0,2.0,1.0,100.0,100.0,9.37
UNBB,N3,single,1,1,0,0,0,0,0,0,0.0,0,0.0,,16.51
UNBB,N4,single,1,1,0,0,0,0,0,0,0.0,0,0.0,,15.39
UNBB,N5,single,1,1,0,0,0,0,0,0,0.0,0,0.0,,15.22
UNBB,N6,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,19.04
UNBB,N7,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,18.38
UNBB,N8,single,2,2,0,0,0,0,0,0,0.0,0,0.0,,18.7
UNBB,N9,single,1,1,0,1,1,0,1,0,0.0,0.0,0.0,0.0,23.63
UNBB,N10,single,3,3,0,0,0,0,0,0,0.0,0,0.0,,14.99
UNBB,N11,single,2,2,0,0,0,0,0,0,0.0,0,0.0,,14.74
UNBB,N12,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,30.55
