query_id,system,hop,n_facts,n_facts_ind,n_facts_dep,n_traps,n_traps_ind,n_traps_dep,n_traps_schema,n_traps_missingdetail,facts_recalled,traps_acknowledged,llm_calls,turns,prompt_tokens,completion_tokens,total_tokens,tokens_per_call,wall_clock_s
N10,UNBB,single,3,3,0,0,0,0,0,0,0.0,0,9,6,9140,1206,10346,1149.6,13.5
N11,UNBB,single,2,2,0,0,0,0,0,0,0.0,0,9,6,10595,1056,11651,1294.6,13.1
N12,UNBB,single,3,3,0,0,0,0,0,0,2.0,0,10,7,13167,1852,15019,1501.9,19.5
N13,UNBB,single,1,1,0,0,0,0,0,0,1.0,0,9,6,10781,1375,12156,1350.7,13.3
N14,UNBB,single,2,2,0,0,0,0,0,0,2.0,0,9,6,11922,1323,13245,1471.7,12.0
N15,UNBB,single,1,1,0,1,1,0,1,0,1.0,0.0,9,6,10495,1145,11640,1293.3,12.0
N16,UNBB,single,3,3,0,1,1,0,0,1,0.0,1.0,9,6,10915,1135,12050,1338.9,12.5
N17,UNBB,single,2,2,0,1,1,0,0,1,0.0,1.0,9,6,9878,1527,11405,1267.2,15.5
N18,UNBB,single,3,3,0,0,0,0,0,0,1.0,0,9,6,11381,1872,13253,1472.6,16.5
N19,UNBB,single,2,2,0,1,1,0,1,0,2.0,1.0,9,6,11148,968,12116,1346.2,11.5
N20,UNBB,single,3,3,0,0,0,0,0,0,2.0,0,9,6,10872,1312,12184,1353.8,12.7
N21,UNBB,single,1,1,0,1,1,0,0,1,1.0,1.0,9,6,12042,890,12932,1436.9,11.6
N22,UNBB,single,2,2,0,0,0,0,0,0,2.0,0,9,6,9406,1243,10649,1183.2,12.7
N23,UNBB,single,3,3,0,0,0,0,0,0,1.0,0,9,6,10958,1086,12044,1338.2,12.2
N24,UNBB,single,2,2,0,1,1,0,0,1,2.0,1.0,9,6,9766,901,10667,1185.2,11.5
N25,UNBB,single,3,3,0,0,0,0,0,0,1.0,0,9,6,11210,1312,12522,1391.3,12.4
N26,UNBB,single,3,3,0,0,0,0,0,0,3.0,0,9,6,11439,1233,12672,1408.0,11.0
N27,UNBB,single,3,3,0,0,0,0,0,0,1.0,0,9,6,11046,1779,12825,1425.0,18.6
N28,UNBB,single,4,4,0,0,0,0,0,0,1.0,0,9,6,10960,1618,12578,1397.6,16.1
N29,UNBB,single,3,3,0,0,0,0,0,0,2.0,0,9,6,11766,1907,13673,1519.2,17.4
N30,UNBB,single,2,2,0,0,0,0,0,0,2.0,0,9,6,10242,1390,11632,1292.4,15.5
N31,UNBB,single,3,3,0,1,1,0,0,1,2.0,0.0,9,6,10095,1058,11153,1239.2,13.2
N32,UNBB,single,3,3,0,1,1,0,1,0,1.0,1.0,7,5,5629,906,6535,933.6,9.0
N33,UNBB,single,3,3,0,0,0,0,0,0,1.0,0,9,6,10610,1305,11915,1323.9,13.8
N34,UNBB,single,4,4,0,0,0,0,0,0,2.0,0,9,6,11117,1681,12798,1422.0,30.2
N35,UNBB,single,2,2,0,0,0,0,0,0,2.0,0,8,6,10363,866,11229,1403.6,11.1
D1,UNBB,single,2,2,0,0,0,0,0,0,0.0,0,9,6,10336,1448,11784,1309.3,14.8
D2,UNBB,single,3,3,0,0,0,0,0,0,0.0,0,9,6,10740,1152,11892,1321.3,12.7
D3,UNBB,single,1,1,0,1,1,0,1,0,0.0,1.0,9,6,10724,1059,11783,1309.2,15.4
D4,UNBB,single,3,3,0,0,0,0,0,0,2.0,0,9,6,11262,1233,12495,1388.3,13.1
D5,UNBB,single,2,2,0,1,1,0,1,0,0.0,0.0,9,6,10577,1095,11672,1296.9,12.4
N41,UNBB,multi,1,0,1,0,0,0,0,0,0.0,0,9,6,9664,931,10595,1177.2,9.6
N42,UNBB,multi,1,0,1,3,0,3,3,0,0.0,2.0,9,6,8821,673,9494,1054.9,8.9
N43,UNBB,multi,2,0,2,0,0,0,0,0,2.0,0,9,6,9902,950,10852,1205.8,12.1
N44,UNBB,multi,2,0,2,1,0,1,1,0,0.0,1.0,8,6,7320,845,8165,1020.6,12.2
N45,UNBB,multi,1,0,1,0,0,0,0,0,0.0,0,9,6,10406,1011,11417,1268.6,12.1
N46,UNBB,multi,2,0,2,1,0,1,1,0,1.0,0.0,9,6,9183,785,9968,1107.6,11.2
N47,UNBB,multi,2,0,2,2,0,2,2,0,0.0,1.0,9,6,10136,957,11093,1232.6,13.4
N48,UNBB,multi,3,0,3,0,0,0,0,0,3.0,0,7,5,5317,911,6228,889.7,9.2
N49,UNBB,multi,2,0,2,0,0,0,0,0,1.0,0,9,6,10078,1120,11198,1244.2,12.9
N50,UNBB,multi,1,0,1,1,0,1,1,0,0.0,1.0,7,5,4968,762,5730,818.6,8.3
N51,UNBB,multi,2,0,2,0,0,0,0,0,1.0,0,9,6,9474,793,10267,1140.8,11.4
N52,UNBB,multi,2,0,2,1,0,1,1,0,1.0,0.0,8,5,8098,1334,9432,1179.0,38.5
N53,UNBB,multi,3,0,3,0,0,0,0,0,1.0,0,7,5,5409,1036,6445,920.7,11.5
N54,UNBB,multi,2,0,2,2,0,2,2,0,0.0,0.0,7,5,5377,957,6334,904.9,9.8
N55,UNBB,multi,1,0,1,2,0,2,2,0,0.0,1.0,9,6,10888,1989,12877,1430.8,18.8
N1,SA,single,2,2,0,0,0,0,0,0,1.0,0,4,4,11384,386,11770,2942.5,12.7
N2,SA,single,2,2,0,1,1,0,1,0,2.0,0.0,2,2,4758,289,5047,2523.5,3.5
N3,SA,single,1,1,0,0,0,0,0,0,0.0,0,2,2,6500,296,6796,3398.0,3.9
N4,SA,single,1,1,0,0,0,0,0,0,0.0,0,3,3,12134,435,12569,4189.7,7.1
N5,SA,single,1,1,0,0,0,0,0,0,1.0,0,2,2,5024,398,5422,2711.0,4.5
N6,SA,single,2,2,0,0,0,0,0,0,1.0,0,2,2,7302,360,7662,3831.0,4.4
N7,SA,single,3,3,0,0,0,0,0,0,3.0,0,3,3,7399,432,7831,2610.3,5.3
N8,SA,single,2,2,0,0,0,0,0,0,2.0,0,2,2,6955,513,7468,3734.0,6.1
N9,SA,single,1,1,0,1,1,0,1,0,1.0,0.0,3,3,13062,322,13384,4461.3,5.7
N10,SA,single,3,3,0,0,0,0,0,0,2.0,0,2,2,6832,734,7566,3783.0,6.4
N11,SA,single,2,2,0,0,0,0,0,0,1.0,0,3,3,13316,300,13616,4538.7,4.9
N12,SA,single,3,3,0,0,0,0,0,0,3.0,0,4,4,20594,718,21312,5328.0,8.5
N13,SA,single,1,1,0,0,0,0,0,0,1.0,0,5,5,15959,893,16852,3370.4,9.9
N14,SA,single,2,2,0,0,0,0,0,0,2.0,0,2,2,8152,641,8793,4396.5,6.2
N15,SA,single,1,1,0,1,1,0,1,0,0.0,0.0,3,3,13412,469,13881,4627.0,6.2
N16,SA,single,3,3,0,1,1,0,0,1,2.0,1.0,3,3,17780,436,18216,6072.0,7.1
N17,SA,single,2,2,0,1,1,0,0,1,1.0,1.0,3,3,16956,466,17422,5807.3,7.4
N18,SA,single,3,3,0,0,0,0,0,0,3.0,0,3,3,14280,459,14739,4913.0,6.0
N19,SA,single,2,2,0,1,1,0,1,0,2.0,1.0,2,2,10029,607,10636,5318.0,7.2
N20,SA,single,3,3,0,0,0,0,0,0,3.0,0,3,3,11961,698,12659,4219.7,8.1
N21,SA,single,1,1,0,1,1,0,0,1,1.0,1.0,2,2,9589,449,10038,5019.0,6.2
N22,SA,single,2,2,0,0,0,0,0,0,2.0,0,3,3,12950,793,13743,4581.0,8.7
N23,SA,single,3,3,0,0,0,0,0,0,3.0,0,3,3,12119,514,12633,4211.0,8.7
N24,SA,single,2,2,0,1,1,0,0,1,2.0,1.0,4,4,16535,510,17045,4261.2,8.5
N25,SA,single,3,3,0,0,0,0,0,0,3.0,0,2,2,8387,793,9180,4590.0,7.5
N26,SA,single,3,3,0,0,0,0,0,0,3.0,0,3,3,12734,573,13307,4435.7,6.4
N27,SA,single,3,3,0,0,0,0,0,0,3.0,0,3,3,13276,561,13837,4612.3,6.9
N28,SA,single,4,4,0,0,0,0,0,0,4.0,0,4,4,14015,709,14724,3681.0,8.3
N29,SA,single,3,3,0,0,0,0,0,0,3.0,0,7,7,24018,1035,25053,3579.0,12.0
N30,SA,single,2,2,0,0,0,0,0,0,2.0,0,5,5,24071,641,24712,4942.4,10.2
N31,SA,single,3,3,0,1,1,0,0,1,3.0,0.0,4,4,12221,477,12698,3174.5,6.9
N32,SA,single,3,3,0,1,1,0,1,0,2.0,0.0,3,3,7913,485,8398,2799.3,5.7
N33,SA,single,3,3,0,0,0,0,0,0,3.0,0,5,5,15524,837,16361,3272.2,10.8
